Dia,Alimento,Calorias,Proteinas,Carbohidratos,Grasas,Fibra
Lunes,Papas fritas,529,2.92,56.54,32.19,8.80
Lunes,"Pollo Pechuga asado",175,26.37,0.09,7.67,0.00
Martes,Higado Pollo,137,22.10,1.20,4.70,0.00
Martes,Pure de papa,111,2.15,17.69,3.79,1.20
Miercoles,Pure de papa,111,2.15,17.69,3.79,1.20
Miercoles,Caballo Carne,113,21.00,0.00,3.00,0.00
Jueves,Arroz Integral,357,7.00,77.00,2.00,3.00
Jueves,Cabra Carne,161,20.00,0.00,8.00,0.00
Viernes,"Carne de res rabo de buey cocida",251,30.80,0.00,13.19,0.00
Viernes,Aceite de coco,892,0.00,0.00,99.06,0.00
Sabado,"Rape Pez Pescador",86,17.00,0.00,2.00,0.00
Sabado,"Rape Pez Pescador",86,17.00,0.00,2.00,0.00
Domingo,Salmon al vapor o escalfado,160,25.78,0.00,5.53,0.00
Domingo,Salmonete crudo,117,19.35,0.00,3.79,0.00
